Employee_ID,Branch,Role,Vehicle_Model,Quantity,Sale_Date,Vehicle_Type
ASM1002,Mumbai-North,ASM,Luxe-M,1,2025-09-01,Mid-Size Sedan
ASM1002,Mumbai-North,ASM,Elite-S,1,2025-09-01,Compact Sedan
ASM1002,Mumbai-North,ASM,Elite-S,1,2025-09-02,Compact Sedan
ASM1002,Mumbai-North,ASM,Prestige-D,1,2025-09-04,Mid-Size Sedan
ASM1002,Mumbai-North,ASM,Prestige-D,1,2025-09-06,Mid-Size Sedan
ASM1002,Mumbai-North,ASM,Elite-S,1,2025-09-09,Compact Sedan
ASM1002,Mumbai-North,ASM,Cargo-C,1,2025-09-09,Commercial
ASM1002,Mumbai-North,ASM,Urban-V,1,2025-09-09,SUV
ASM1002,Mumbai-North,ASM,Cargo-C,1,2025-09-10,Commercial
ASM1002,Mumbai-North,ASM,Prime-A,1,2025-09-11,Compact Sedan
ASM1002,Mumbai-North,ASM,Adventure-X,1,2025-09-11,SUV
ASM1002,Mumbai-North,ASM,Elite-S,1,2025-09-11,Compact Sedan
ASM1002,Mumbai-North,ASM,Prestige-D,1,2025-09-11,Mid-Size Sedan
ASM1002,Mumbai-North,ASM,Prime-A,1,2025-09-12,Compact Sedan
ASM1002,Mumbai-North,ASM,Urban-V,1,2025-09-12,SUV
ASM1002,Mumbai-North,ASM,Prestige-D,1,2025-09-13,Mid-Size Sedan
ASM1002,Mumbai-North,ASM,Adventure-X,1,2025-09-13,SUV
ASM1002,Mumbai-North,ASM,Adventure-X,1,2025-09-13,SUV
ASM1002,Mumbai-North,ASM,Luxe-M,1,2025-09-14,Mid-Size Sedan
ASM1002,Mumbai-North,ASM,Hauler-H,1,2025-09-14,Commercial
ASM1002,Mumbai-North,ASM,Prestige-D,1,2025-09-16,Mid-Size Sedan
ASM1002,Mumbai-North,ASM,Elite-S,1,2025-09-16,Compact Sedan
ASM1002,Mumbai-North,ASM,Prime-A,1,2025-09-16,Compact Sedan
ASM1002,Mumbai-North,ASM,Hauler-H,1,2025-09-16,Commercial
ASM1002,Mumbai-North,ASM,Elite-S,1,2025-09-16,Compact Sedan
ASM1002,Mumbai-North,ASM,Adventure-X,1,2025-09-17,SUV
